pergunta,resposta,tokens_prompt,tokens_resposta,tokens_total
"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados no documento são:

1. USOST-027 - Permissão de Trabalho de Risco: utilizado para atividades não rotineiras com validade de 1 dia, ou para atividades programadas com validade de até 5 dias, disponível no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST.

2. USOST-029 - Autorização para Trabalho a Quente: necessário para atividades que envolvam fontes de ignição, como trabalhos a quente, e deve ser utilizado em conjunto com a PTR, disponível no mesmo site e pasta mencionados acima.

3. USOST-030 - Permissão de Entrada e Trabalho em Espaços Confinados (PET): utilizado para garantir a segurança em espaços confinados, também em conjunto com a PTR, disponível no mesmo site e pasta mencionados acima.

4. USOST-039 - Etiqueta de Bloqueio de Energias Perigosas: aplicável para bloqueio e etiquetagem de fontes de energia perigosas, disponível no mesmo site e pasta mencionados acima.

Esses formulários têm como finalidade a formalização e segurança nas atividades que apresentam riscos, garantindo que as medidas preventivas sejam implementadas e que os trabalhadores estejam cientes e prepar",101807,284,102091
"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","O Estágio Optativo para acadêmicos de Medicina ou residentes é definido como uma atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante. Este estágio deve ser solicitado com antecedência, e a documentação necessária deve ser enviada para formalização do estágio. A solicitação é feita através de um formulário específico, e os documentos necessários incluem o Plano de Ensino, assinado junto com o supervisor, e uma declaração de seguro fornecida pelo colegiado da Faculdade de Medicina. Para acadêmicos de outras instituições, são necessários o Termo de Compromisso de Estágio, assinado pelo acadêmico e pela instituição de ensino, a Carta de apresentação da Instituição de Ensino, a cópia da apólice de seguro ou declaração de que o estudante está assegurado, e a cópia da carteira de vacinação. Todo esse processo é gerenciado pela Gerência de Ensino e Pesquisa (GEP) do Hospital Escola da Universidade Federal de Pelotas, que utiliza o sistema SEI! para encaminhamento e aprovação das solicitações. Após a aprovação, a GEP comunica o estudante e prossegue com os passos para",67032,280,67312
"Quais são os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento?","Os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL incluem:

- **Plano de Ensino**: Preenchido e assinado em conjunto com o supervisor do estágio. (Disponível em: Q:#GERÊNCIA DE ENSINO E PESQUISADOCUMENTOS - GERAIS - GEP E HEDOCUMENTOS PARA PADRONIZAÇÃO Plano de Ensino)
  
- **Declaração de Seguro**: Fornecida pelo colegiado da Faculdade de Medicina (FAMED) para estudantes da UFPEL.

Para estudantes de outras instituições:

- **Termo de Compromisso de Estágio**: 3 vias, assinadas pelo acadêmico e pela instituição de ensino. (Modelo disponível em: S:#GERÊNCIA DE ENSINO E PESQUISA > DOCUMENTOS - GERAIS - GEP E HE > DOCUMENTOS PARA PADRONIZAÇÃO> Termo de Compromisso de Estágio – Modelos> Termo-de-Compromisso-HE UFPEL-como-PARTE-CONCEDENTE)

- **Plano de Ensino**: Preenchido e assinado em conjunto com o professor coordenador de estágios. Se a instituição não possuir modelo próprio",80818,238,81056
"Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação?","Para o preenchimento do Sistema ADS Ensino e o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação, são necessários os seguintes materiais:

- Computador com Internet;
- Sistema ADS Ensino disponível no site do Hospital Escola UFPEL/EBSERH;
- Impressora Ink Jet ou Laser colorida;
- Papel A4;
- Plástico Polaseal para a plastificação do crachá.

O processo envolve acessar o sistema com login e senha, verificar e atualizar o cadastro do estudante, preencher a vaga curricular com as informações do estágio, incluindo supervisor e período, e finalizar o processo imprimindo o crachá, que será recortado, plastificado e entregue ao estagiário. A documentação deve ser entregue com antecedência de até 15 dias, e os crachás serão impressos em equipamento de impressão colorida do Hospital Escola e entregues na portaria ou no Setor de Ensino, conforme acordado previamente.

Além disso, é crucial que o Termo de Compromisso de Estágio, a Carta de Apresentação, a cópia da apólice de seguro e a cópia da carteirinha de vacinação sejam entregues para a formal",60476,275,60751
Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação?,"Os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação são:

- Computador com acesso à internet
- Sistema ADS Ensino (disponível no site do HE UFPEL)
- Impressora ink jet ou laser colorida
- Papel A4
- Plástico Polaseal para a plastificação dos crachás

Além disso, é necessário o preenchimento do Formulário ""Solicitação para Realizar Projeto de Ensino/Extensão no Hospital Escola e Outras Unidades"", disponível no site do HE UFPEL, e a verificação de que todos os campos obrigatórios no cadastro do estudante no sistema ADS Ensino foram preenchidos corretamente. 

Para a impressão dos crachás, o arquivo gerado pelo sistema ADS Ensino deve ser salvo em formato PDF e impresso em uma impressora colorida. Após a impressão, os crachás devem ser recortados, plastificados e entregues na portaria de entrada dos funcionários ou no Setor de Ensino para retirada pelo estagiário.

Estes procedimentos são detalhados em documentos que descrevem o processo de formalização e cadastro dos estágios optativos, bem como a impressão dos crachás de identificação, garantindo que",62023,289,62312
"De acordo com a Resolução CNS nº 466/2012, item II.21, como é definido o termo 'ressarcimento' no contexto da compensação material em pesquisas?","A Resolução CNS no 466/2012, item II.21, define ressarcimento como ""compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação"". O TCLE (Termo de Consentimento Livre e Esclarecido) deve conter a garantia de ressarcimento e detalhar como serão cobertas as despesas decorrentes da participação na pesquisa. Isso assegura que os participantes não arquem com custos adicionais ao participarem do estudo, promovendo a equidade e garantindo que a participação na pesquisa não resulte em prejuízo financeiro para os participantes e seus acompanhantes.",55744,156,55900
"Quais formulários são utilizados na rotina de monitorias remotas descrita no documento, e para que propósito cada um serve?","Os formulários utilizados na rotina de monitorias remotas são:

1. **Formulário CPC – 003 Anuência para Monitoria Remota**: Este formulário deve ser preenchido pela Chefia do Setor de Gestão da Pesquisa e Inovações Tecnológicas em Saúde para documentar a anuência com a monitoria remota e fica arquivado nos documentos do Centro de Pesquisa Clínica (CPC) para cobrir todas as atividades subsequentes.

2. **Formulário CPC – 004 Ciência para Monitoria Remota**: Os Investigadores e Sub-investigadores devem preencher este formulário para documentar a ciência da execução da monitoria remota, respaldando sua execução.

3. **Formulário CPC – 005 Acordo de Confidencialidade**: Para cada monitoria remota, o monitor deve encaminhar este formulário, assinado 24 horas antes, ao CPC. O objetivo é garantir a confidencialidade e o uso adequado das informações coletadas durante a monitoria.

**Propósitos dos formulários:**
- O Formulário CPC – 003 serve para documentar a autorização da monitoria remota.
- O Formulário CPC – 004 é utilizado para confirmar que os investigadores e sub-investigadores estão",51571,275,51846
"De acordo com o documento, qual a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna?","A responsabilidade do coordenador da ação de instrutoria interna no Hospital Escola da Universidade Federal de Pelotas, gerido pela Empresa Brasileira de Serviços Hospitalares (EBSERH), é elaborar o projeto básico de capacitação para instrutoria interna conforme a capacitação validada no Plano de Desenvolvimento de Competências (PDC). As demandas de capacitações extemporâneas devem ser justificadas e encaminhadas à Unidade de Desenvolvimento de Pessoas (UDP). O coordenador deve preencher no sistema SEI o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente, e providenciar as assinaturas necessárias, incluindo a do assistente, chefia da área demandante e demais responsáveis. Além disso, deve detalhar os papéis e perfis para a execução da ação de capacitação, conforme o art. 3o da Portaria-SEI no 2931/2022/DGP-EBSERH, e encaminhar o projeto à UDP com 60 dias de antecedência para análise. Caso haja solicitação de ajustes pela UDP, o coordenador deve realizá-los em até 5 dias e, quando necessário, revisar o material did",81715,265,81980
"Qual o prazo que o colaborador apto para a instrutoria interna tem, após o recebimento do despacho de indicação pela UDP, para manifestar confirmação ou indisponibilidade,  e o que precisa ser feito?","O colaborador apto para a instrutoria interna tem o prazo de 7 dias, após o recebimento do despacho de indicação pela UDP, para manifestar confirmação ou indisponibilidade. Para isso, o colaborador deve preencher o Termo de Ciência da Atividade de Instrutoria Interna_SEI, que inclui sua assinatura e a de sua chefia imediata, ou emitir um despacho informando a indisponibilidade para atuação na ação de capacitação. Este termo ou despacho deve ser incluído no processo SEI e enviado à UDP para validação e continuidade do processo.",86438,133,86571
Quais são os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH)?,"Os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH) são:

1. **Norma - SEI no 5/2022/DGP-EBSERH**: Dispõe sobre as ações de capacitação no âmbito da EBSERH, incluindo diretrizes e procedimentos para a realização de capacitações internas.

2. **Portaria-SEI no 2931/2022/DGP-EBSERH**: Regulamenta a instrutoria interna no âmbito da Rede EBSERH, estabelecendo critérios e procedimentos para a seleção, atuação e avaliação dos instrutores internos.

3. **POP.DGP.029 - Avaliação de Necessidades de Treinamento, Desenvolvimento e Educação (2024)**: Orienta a avaliação e o planejamento das necessidades de capacitação, alinhando-se às diretrizes institucionais.

Estes documentos são essenciais para a formalização e condução das capacitações e instrutorias internas, garantindo que as ações estejam alinhadas com as normas e diretrizes institucionais da EBSERH. É importante que todas as",67043,244,67287
