resposta_gerada,resposta_referencia,precision,recall,f1
No site do HE (Sistemas -> ADS Hospitalar -> Documentos -> USOST) estão disponíveis os formulários USOST-027 (Permissão de Trabalho de Risco - PTR) para atividades de risco não rotineiras ou previamente programadas; USOST-029 (Autorização para trabalho a quente) para atividades com fontes de ignição em áreas com presença de materiais inflamáveis; USOST-030 (Permissão de Entrada e Trabalho em espaços confinados - PET) para atividades em espaços confinados; e USOST-039 (Etiqueta bloqueio de energias perigosas) para procedimentos de bloqueio e etiquetagem de energias perigosas durante serviços.,"Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",0.7420077323913574,0.8304286599159241,0.7837321758270264
"Estágio Optativo é definido como atividade curricular obrigatória, porém em área eletiva, escolhida pelo próprio estudante.","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",0.9532955288887024,0.9180272817611694,0.935329020023346
Os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL são: computador com Internet e acesso ao Sistema ADS Ensino (Site Hospital Escola).,"Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",0.7005021572113037,0.7835334539413452,0.7396950125694275
"Para o preenchimento do Sistema ADS Ensino no cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás, são necessários: computador com Internet e o Sistema ADS Ensino (site do HE UFPEL).","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",0.7189427018165588,0.8434163928031921,0.7762210965156555
"Os materiais necessários são: computador com internet, acesso ao Sistema ADS Ensino (site do HE UFPEL), impressora ink jet ou laser colorida, papel A4 e plástico Polaseal para plastificação do crachá.","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",0.8867760896682739,0.910480260848999,0.8984718322753906
"De acordo com a Resolução CNS nº 466/2012, item II.21, o termo ""ressarcimento"" é definido como compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação.","“compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”",0.76462322473526,0.9150000810623169,0.833079993724823
"Na rotina de monitorias remotas, são utilizados três formulários: o **Formulário CPC – 003 (Anuência para Monitoria Remota)**, que serve para documentar a autorização da chefia do setor de pesquisa, cobrindo todas as atividades subsequentes; o **Formulário CPC – 004 (Ciência para Monitoria Remota)**, destinado a registrar o conhecimento e a concordância dos investigadores e sub-investigadores sobre o procedimento; e o **Formulário CPC – 005 (Acordo de Confidencialidade)**, que formaliza o compromisso do monitor em utilizar, proteger e destruir adequadamente os documentos-fonte, sem fazer cópias ou gravações.",Formulário CPC – 003 Anuência para Monitoria Remota; Formulário CPC – 004 Ciência para Monitoria Remota; Formulário CPC – 003 Acordo de confidencialidade: Monitoria Remota por vídeo ou webconferência,0.6743345856666565,0.8121337890625,0.7368471026420593
"A responsabilidade do coordenador da ação de instrutoria interna é elaborar o projeto básico de capacitação para instrutoria interna, conforme a capacitação validada no PDC.","Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC. As demandas de capacitações extemporâneas, deverão ser justificadas e encaminhadas à UDP. Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente. Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente. Emitir despacho, detalhando os papéis e perfis esperados para a execução da ação de capacitação, conforme o art. 3º da Portaria-SEI nº 2931/2022/DGP-EBSERH.",0.7882847189903259,0.6804744005203247,0.730422854423523
"O colaborador apto para a instrutoria interna tem o prazo de 7 dias, após o recebimento do despacho de indicação pela UDP, para manifestar confirmação ou indisponibilidade. Para confirmar, deve preencher o Termo de Ciência da Atividade de Instrutoria Interna_SEI, com a assinatura do instrutor e da chefia imediata. Caso indisponível, deve enviar um despacho informando a indisponibilidade para atuação na ação de capacitação.","Após o recebimento do despacho de indicação, por parte da UDP, o colaborador apto para a instrutoria interna terá o prazo de 7 dias, para manifestar confirmação ou indisponibilidade, preenchimento do Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele), ou despacho informando a indisponibilidade para atuação na ação de capacitação.",0.9340561032295227,0.9422184824943542,0.9381195306777954
"Os documentos normativos citados são a Portaria SEI nº 2931/2022/DGP-EBSERH, a Norma SEI nº 5/2022/DGP-EBSERH e a POP.DGP.029 (Avaliação de necessidades de treinamento, desenvolvimento e educação).",Norma - SEI nº 5/2022/DGP-EBSERH; Portaria- SEI nº 2931/2022/DGP-EBSERH.,0.7609972357749939,0.8804248571395874,0.81636643409729
