,pergunta,resposta,k_utilizado,num_chamadas,tokens_incremental,tokens_top50,economia_tokens,status
0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e suas finalidades, são:

*   **Formulário USOST-029 - Autorização para trabalho a quente:** Utilizado para atividades que envolvam fontes de ignição, como aquecimento, centelha ou chama, em áreas onde exista ou possa existir presença de material inflamável ou combustível com possibilidade de incêndio e/ou explosão (Trabalho a quente).
*   **Formulário USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET:** Utilizado para permissão de entrada e trabalho em espaços confinados.
*   **Formulário USOST-039 Etiqueta bloqueio de energias perigosas:** Utilizado para bloqueio de energias perigosas (elétrica, mecânica, hidráulica, pneumática, química, térmica).
*   **Formulário USOST-027 - Permissão de trabalho de risco (PTR):** Utilizado para a emissão da Permissão de Trabalho com Risco, que é o foco das atividades a serem realizadas.",5,2,7234,101735,0.9288936944021231,SUCESSO
1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","De acordo com os documentos, entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",5,2,10099,66961,0.8491808664745151,SUCESSO
2,"Quais são os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento?","De acordo com os Documentos 2 e 4, os materiais necessários para a formalização de um Estágio Optativo previamente aprovado dependem da origem do acadêmico:

**Para Acadêmicos da UFPEL:**
*   Plano de Ensino, preenchido e assinado em conjunto com o supervisor do estágio;
*   Declaração de seguro fornecida pelo colegiado da Faculdade de Medicina (FAMED).

**Para Acadêmicos de OUTRAS INSTITUIÇÕES:**
*   Termo de Compromisso de Estágio (3 vias), assinado pelo acadêmico e pela instituição de ensino;
*   Plano de Ensino, preenchido e assinado em conjunto com o professor coordenador de estágios (caso a Instituição de Ensino não tenha modelo próprio, enviar o modelo da GEP);
*   Carta de apresentação fornecida pela Instituição de Ensino, mencionando nome do estudante, situação atual de matrícula, nome da disciplina de estágio obrigatório que deve realizar e carga horária total que deve cumprir;
*   Cópia de apólice de seguro contra acidentes pessoais, ou declaração da Instituição de Ensino atestando que o estudante está assegurado (mencionar nome da seguradora, número da apólice e prazo de vigência);
*   Cópia de comprovante vacinal (carteirinha de vacinação) com as doses de Hepatite B e Dupla Adulto (Tétano, Difteria) em dia.",5,2,10176,80746,0.873975181433136,SUCESSO
3,"Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação?","Os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação, são:

*   Computador com Internet (Documento 2, 5)
*   Sistema ADS Ensino (site do HE UFPEL) (Documento 2)
*   Pen Drive (Documento 2, 4)
*   Impressora (colorida / Ink Jet ou Laser colorida / equipamento de impressão colorida do Hospital Escola) (Documento 1, 2, 4)
*   Papel A4 (ou Folha A4) (Documento 1, 4)
*   Plástico Polaseal (Documento 1, 4)
*   Plastificadora (Poliseladora) (Documento 4)",5,2,12935,60405,0.7858620975084845,SUCESSO
4,Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação?,"Os materiais necessários são: Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",5,2,12829,61952,0.7929203254132231,SUCESSO
5,"De acordo com a Resolução CNS nº 466/2012, item II.21, como é definido o termo 'ressarcimento' no contexto da compensação material em pesquisas?","De acordo com a Resolução CNS n° 466/2012, item II.21, ressarcimento é definido como “compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”.",5,2,8397,55673,0.8491728485980636,SUCESSO
6,"Quais formulários são utilizados na rotina de monitorias remotas descrita no documento, e para que propósito cada um serve?","Os formulários utilizados na rotina de monitorias remotas e seus propósitos são:

*   **Formulário CPC – 003 Anuência para Monitoria Remota**: Utilizado pela Chefia do Setor de Gestão da Pesquisa e Inovações Tecnológicas em Saúde e Coordenador de Pesquisa para documentar sua anuência para a realização da monitoria remota.
*   **Formulário CPC – 004 Ciência para Monitoria Remota**: Utilizado pelos investigadores e sub-investigadores para documentar sua ciência sobre a monitoria remota, respaldando sua execução.
*   **Formulário CPC – 005 Acordo de Confidencialidade**: Utilizado pelo monitor para se comprometer a utilizar a documentação-fonte de forma adequada, destruir cópias de documentos-fonte de forma segura após verificação, e a não fazer cópias ou gravações de documentos-fonte que contenham informações do participante.",5,2,11355,51499,0.7795102817530437,SUCESSO
7,"De acordo com o documento, qual a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna?","De acordo com o documento, a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna é:

Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC.
Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente.
Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente.
Enviar, via sistema SEI, o projeto com 60 dias de antecedência à realização da ação à unidade UDP/DIVGP/GAD/HE-UFPel e aguardar a elaboração da nota técnica de aprovação ou despacho preliminar, com eventuais ajustes que precisam ser realizados no projeto.",5,2,8945,81644,0.8904389789819215,SUCESSO
8,"Qual o prazo que o colaborador apto para a instrutoria interna tem, após o recebimento do despacho de indicação pela UDP, para manifestar confirmação ou indisponibilidade,  e o que precisa ser feito?","Após o recebimento do despacho de indicação pela UDP, o colaborador apto para a instrutoria interna terá o prazo de **7 dias** para manifestar confirmação ou indisponibilidade.

Para isso, o colaborador deve realizar uma das seguintes ações:
1.  Preencher o Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele).
2.  Ou enviar um despacho informando a indisponibilidade para atuação na ação de capacitação.",5,2,17579,86366,0.7964592547993423,SUCESSO
9,Quais são os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH)?,"Os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH) são:

*   **Norma - SEI nº 5/2022/DGP-EBSERH**: Dispõe sobre as ações de capacitação no âmbito da Empresa Brasileira de Serviços Hospitalares – Ebserh.
*   **Portaria- SEI nº 2931/2022/DGP-EBSERH**: Regulamenta a instrutoria interna no âmbito da Rede Ebserh.",10,4,26581,66971,0.6030968628212211,SUCESSO
10,"De acordo com o documento, qual o procedimento a ser adotado pelo NAA quando a escala de trabalho é recebida após o dia 15 do mês antecedente à escala de referência?","De acordo com os documentos, quando a escala de trabalho é recebida pela DIVGP após o dia 15 do mês antecedente à escala de referência, o procedimento a ser adotado pelo NAA é:

1.  Incluir a escala no bloco interno do SEI em pasta previamente criada com o mês correspondente, nomeando-o através do ícone anotações com a informação da unidade correspondente e informando “Fora do Prazo” (Documento 1).
2.  Baixar a escala contida no processo (que deverá estar em formato PDF) e arquivar em: Computador>NAA>Escalas Mensais>Ano Correspondente>Pasta da Unidade Correspondente. A escala salva deverá ser nomeada da seguinte forma: Nome da unidade\_Profissional\_Mês\_Ano. Ex: CLÍNICA\_MÉDICA\_ENF\_FEV\_2022 (Documento 1).
3.  Devolver ao gestor o processo contendo a escala recebida com despacho utilizando texto padrão contido no SEI “Entrega de Escala Fora do Prazo” (Documento 1).
4.  A escala será arquivada pelo NAA, e o cadastramento dos horários de trabalho dos empregados no sistema SIGP/MENTORH ficarão sob responsabilidade do gestor (Documento 2, Documento 3).
5.  Será informada na planilha de controle (disponível em Computador>NAA>Controle de Entrega de Escalas) no lugar da data de entrega a informação “Fora do Prazo” (Documento 4).",5,2,17116,71390,0.760246533127889,SUCESSO
11,"Descreva o procedimento para o tratamento de inconsistências encontradas nas escalas de trabalho, especificando as ações das chefias, os formulários utilizados e os departamentos envolvidos no processo de correção.","O procedimento para o tratamento de inconsistências encontradas nas escalas de trabalho é o seguinte:

1.  **Identificação das inconsistências:** O Núcleo de Apoio Assistencial (NAA) verifica as escalas de trabalho enviadas pelos gestores. Uma inconsistência é, por exemplo, a divergência entre os horários individuais do empregado cadastrados no sistema (SIGP/Mentorh) e os descritos na escala de trabalho.
2.  **Devolução da escala:** Quando o NAA verifica uma inconsistência, a escala enviada é devolvida ao gestor para correção.
3.  **Prazos para correção:** O gestor tem um prazo de 96 horas para a Divisão de Enfermagem e 72 horas para as demais unidades para retornar a escala corrigida.
4.  **Ações das chefias (gestor):**
    *   O gestor é responsável por realizar as retificações necessárias.
    *   Para divergências de horários cadastrados no sistema com os descritos na escala, as alterações nos Horários Individuais dos empregados devem ser solicitadas pelo gestor.
    *   **Formulário utilizado:** ""Formulário de Alteração de Horário Individual"", que deve estar constante no SEI.
    *   O gestor deve preencher o formulário com as informações detalhadas de cada empregado, incluindo nome completo, SIAPE, horários que o empregado deverá realizar a cada dia da semana e data de início da nova jornada de trabalho.
    *   **Encaminhamento:** O formulário preenchido é encaminhado para a Unidade de Administração de Pessoal - UAP.
    *   Após a escala ser tratada e entregue ao NAA, se houver troca de plantão/horário previsto, o gestor deverá lançar as alterações no sistema SIGP e encaminhar a escala atualizada via despacho, até o 5º dia útil do mês subsequente ao mês de referência, para fins de arquivamento.
5.  **Departamentos envolvidos no processo de correção:**
    *   **Núcleo de Apoio Assistencial (NAA):** Responsável por verificar as inconsistências e devolver as escalas aos gestores.
    *   **Chefia Imediata (Gestor):** Responsável por retificar as escalas, solicitar alterações de horários individuais e lançar trocas de plantão/horário.
    *   **Unidade de Administração de Pessoal (UAP/DIVGP/GA/HE-UFPEL):** Departamento para o qual o Formulário de Alteração de Horário Individual é encaminhado para processar as mudanças de horários.
    *   **Divisão de Gestão de Pessoas (DIVGP):** A UAP faz parte da DIVGP.",5,2,27922,51886,0.46185869020545045,SUCESSO
12,"Quais são os passos para inserir as escalas de trabalho nas pastas, após a criação das pastas anuais e mensais, de acordo com as instruções fornecidas?","De acordo com as instruções fornecidas nos Documentos 1 e 2, após a criação das pastas anuais e mensais, os passos para inserir as escalas de trabalho são:

1.  Baixar a escala contida no processo que deverá estar em formato PDF.
2.  Arquivar em: Computador>NAA>Escalas Mensais>Ano Correspondente>Pasta da Unidade Correspondente.
3.  A escala salva deverá ser nomeada da seguinte forma: Nome da unidade\_Profissional\_Mês\_Ano. Ex: CLÍNICA\_MÉDICA\_ENF\_FEV\_2022.",5,2,16719,60866,0.7253146255709263,SUCESSO
13,"Qual o procedimento descrito no documento para anexar a Declaração de Dispensa no sistema SEI UFPel, após o preenchimento do formulário PROGEP: Requerimento de Benefícios?","Após preencher e assinar o formulário PROGEP: Requerimento de Benefícios, para anexar a Declaração de Dispensa, o servidor deve seguir o procedimento:
1. Selecionar a opção “Incluir Documento”.
2. Escolher o Tipo do Documento: “Externo”.
3. Na próxima tela, preencher o Tipo do Documento: “Declaração”.
4. Preencher a data do documento.
5. Preencher o Número/Nome na Arvore: “Justiça Eleitoral”.
6. Preencher o formato, o nível de acesso e a hipótese legal.
7. Anexar o arquivo, procurando-o nos seus documentos.
8. Após concluído, “Confirmar Dados”.",5,2,13797,91799,0.8497042451442827,SUCESSO
