resposta_gerada,resposta_referencia,precision,recall,f1
"Os formulários mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e suas finalidades, são:

*   **Formulário USOST-029 - Autorização para trabalho a quente:** Utilizado para atividades que envolvam fontes de ignição, como aquecimento, centelha ou chama, em áreas onde exista ou possa existir presença de material inflamável ou combustível com possibilidade de incêndio e/ou explosão (Trabalho a quente).
*   **Formulário USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET:** Utilizado para permissão de entrada e trabalho em espaços confinados.
*   **Formulário USOST-039 Etiqueta bloqueio de energias perigosas:** Utilizado para bloqueio de energias perigosas (elétrica, mecânica, hidráulica, pneumática, química, térmica).
*   **Formulário USOST-027 - Permissão de trabalho de risco (PTR):** Utilizado para a emissão da Permissão de Trabalho com Risco, que é o foco das atividades a serem realizadas.","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",0.6648866534233093,0.8157638311386108,0.7326381206512451
"De acordo com os documentos, entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",0.9322835803031921,0.9732100367546082,0.9523072838783264
"De acordo com os Documentos 2 e 4, os materiais necessários para a formalização de um Estágio Optativo previamente aprovado dependem da origem do acadêmico:

**Para Acadêmicos da UFPEL:**
*   Plano de Ensino, preenchido e assinado em conjunto com o supervisor do estágio;
*   Declaração de seguro fornecida pelo colegiado da Faculdade de Medicina (FAMED).

**Para Acadêmicos de OUTRAS INSTITUIÇÕES:**
*   Termo de Compromisso de Estágio (3 vias), assinado pelo acadêmico e pela instituição de ensino;
*   Plano de Ensino, preenchido e assinado em conjunto com o professor coordenador de estágios (caso a Instituição de Ensino não tenha modelo próprio, enviar o modelo da GEP);
*   Carta de apresentação fornecida pela Instituição de Ensino, mencionando nome do estudante, situação atual de matrícula, nome da disciplina de estágio obrigatório que deve realizar e carga horária total que deve cumprir;
*   Cópia de apólice de seguro contra acidentes pessoais, ou declaração da Instituição de Ensino atestando que o estudante está assegurado (mencionar nome da seguradora, número da apólice e prazo de vigência);
*   Cópia de comprovante vacinal (carteirinha de vacinação) com as doses de Hepatite B e Dupla Adulto (Tétano, Difteria) em dia.","Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",0.5210336446762085,0.6344444155693054,0.5721734166145325
"Os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação, são:

*   Computador com Internet (Documento 2, 5)
*   Sistema ADS Ensino (site do HE UFPEL) (Documento 2)
*   Pen Drive (Documento 2, 4)
*   Impressora (colorida / Ink Jet ou Laser colorida / equipamento de impressão colorida do Hospital Escola) (Documento 1, 2, 4)
*   Papel A4 (ou Folha A4) (Documento 1, 4)
*   Plástico Polaseal (Documento 1, 4)
*   Plastificadora (Poliseladora) (Documento 4)","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",0.6255154013633728,0.8393006920814514,0.7168074250221252
"Os materiais necessários são: Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",0.9413937926292419,0.9746100902557373,0.9577140212059021
"De acordo com a Resolução CNS n° 466/2012, item II.21, ressarcimento é definido como “compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”.","“compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”",0.7783003449440002,0.9334653615951538,0.8488503098487854
"Os formulários utilizados na rotina de monitorias remotas e seus propósitos são:

*   **Formulário CPC – 003 Anuência para Monitoria Remota**: Utilizado pela Chefia do Setor de Gestão da Pesquisa e Inovações Tecnológicas em Saúde e Coordenador de Pesquisa para documentar sua anuência para a realização da monitoria remota.
*   **Formulário CPC – 004 Ciência para Monitoria Remota**: Utilizado pelos investigadores e sub-investigadores para documentar sua ciência sobre a monitoria remota, respaldando sua execução.
*   **Formulário CPC – 005 Acordo de Confidencialidade**: Utilizado pelo monitor para se comprometer a utilizar a documentação-fonte de forma adequada, destruir cópias de documentos-fonte de forma segura após verificação, e a não fazer cópias ou gravações de documentos-fonte que contenham informações do participante.",Formulário CPC – 003 Anuência para Monitoria Remota; Formulário CPC – 004 Ciência para Monitoria Remota; Formulário CPC – 003 Acordo de confidencialidade: Monitoria Remota por vídeo ou webconferência,0.6601002216339111,0.838783323764801,0.7387913465499878
"De acordo com o documento, a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna é:

Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC.
Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente.
Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente.
Enviar, via sistema SEI, o projeto com 60 dias de antecedência à realização da ação à unidade UDP/DIVGP/GAD/HE-UFPel e aguardar a elaboração da nota técnica de aprovação ou despacho preliminar, com eventuais ajustes que precisam ser realizados no projeto.","Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC. As demandas de capacitações extemporâneas, deverão ser justificadas e encaminhadas à UDP. Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente. Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente. Emitir despacho, detalhando os papéis e perfis esperados para a execução da ação de capacitação, conforme o art. 3º da Portaria-SEI nº 2931/2022/DGP-EBSERH.",0.8394157290458679,0.8407516479492188,0.840083122253418
"Após o recebimento do despacho de indicação pela UDP, o colaborador apto para a instrutoria interna terá o prazo de **7 dias** para manifestar confirmação ou indisponibilidade.

Para isso, o colaborador deve realizar uma das seguintes ações:
1.  Preencher o Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele).
2.  Ou enviar um despacho informando a indisponibilidade para atuação na ação de capacitação.","Após o recebimento do despacho de indicação, por parte da UDP, o colaborador apto para a instrutoria interna terá o prazo de 7 dias, para manifestar confirmação ou indisponibilidade, preenchimento do Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele), ou despacho informando a indisponibilidade para atuação na ação de capacitação.",0.8462635278701782,0.8852075338363647,0.8652975559234619
"Os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH) são:

*   **Norma - SEI nº 5/2022/DGP-EBSERH**: Dispõe sobre as ações de capacitação no âmbito da Empresa Brasileira de Serviços Hospitalares – Ebserh.
*   **Portaria- SEI nº 2931/2022/DGP-EBSERH**: Regulamenta a instrutoria interna no âmbito da Rede Ebserh.",Norma - SEI nº 5/2022/DGP-EBSERH; Portaria- SEI nº 2931/2022/DGP-EBSERH.,0.6548940539360046,0.8649854063987732,0.7454193234443665
