pergunta,resposta,tokens_prompt,tokens_resposta,tokens_total
"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e suas finalidades são:

1. **USOST-027 - Permissão de Trabalho de Risco (PTR)**  
   - Para atividades não rotineiras com validade de 1 dia.  
   - Para atividades previamente programadas com validade de até 5 dias (Permissão de Trabalho Temporário de Risco - PTTR).  
   - Utilizado para emissão da permissão de trabalho com risco, contendo informações sobre a atividade, perigos envolvidos, EPIs, declaração de ciência dos executantes, validações e encerramento da permissão.

2. **USOST-028 - Permissão de Trabalho em Altura**  
   - Para trabalhos em altura, que devem ser realizados sob supervisão e com avaliação de riscos específicos.

3. **USOST-029 - Autorização para trabalho a quente**  
   - Para atividades que envolvam fontes de ignição, como aquecimento, centelha ou chama, em áreas com material inflamável ou combustível.

4. **USOST-030 - Permissão de Entrada e Trabalho em espaços confinados (PET)**  
   - Para trabalhos em espaços confinados, considerados potencialmente perigosos, com monitoramento e controle de acesso.

5. **USOST-033 - Ficha de escuta qualificada**  
   - Utilizado para formalizar a presença do colaborador em escuta qualificada na área de saúde mental.

6. **USOST-036 - Termo de Autorização Colaborador**  
   - Para autorização do colaborador em escuta qualificada, autorizando o compartilhamento das informações para a chefia imediata, com opção de preservação do sigilo.

7. **USOST-037 - ASTC - Análise de Segurança da Tarefa Crítica**  
   - Para análise de segurança de tarefas críticas.

8. **USOST-038 - Controle de acesso em espaço confinado**  
   - Para registro do controle de acesso de trabalhadores autorizados a entrar em espaços confinados.

9. **USOST-039 - Etiqueta bloqueio de energias perigosas**  
   - Para bloqueio e etiquetagem de energias perigosas (elétrica, mecânica, hidráulica, pneumática, química, térmica).

10. **USOST-040 - APR – Análise Preliminar de risco**  
    - Para análise preliminar de riscos das atividades.

11. **USOST-031 - Check-list de inspeção**  
    - Para inspeção e monitoramento das condições de risco nos ambientes do Hospital.

12. **USOST-032 - Atendimento em Enfermagem**  
    - Para registro de atendimento em enfermagem na área de saúde mental.

13. **USOST-034 - Avaliação de sofrimento mental**  
    - Para avaliação do sofrimento mental, utilizando o teste SRQ 20.

14. **USOST-035 - Termo de autorização da Chefia**  
    - Para autorização da chefia em processos relacionados à saúde mental.

15. **USOST-044 - Avaliação Procedimento PTR**  
    - Para avaliação do procedimento da Permissão de Trabalho com Risco.

Esses formulários são utilizados para controle, autorização, monitoramento e registro de atividades relacionadas à segurança do trabalho, saúde ocupacional, permissões de trabalho, controle de riscos, e atendimento em saúde mental no Hospital Escola da UFPel.

Fonte: Documentos 1, 3, 4, 5, 6, 11, 14, 23, 26, 28, 29, 31, 33, 34, 39, 42, 43, 46.",91522,784,92306
"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","De acordo com o documento, a definição de Estágio Optativo para acadêmicos de Medicina ou residentes é:

""Estágio Optativo é atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.""

(Essa definição está explicitamente presente nos Documentos 1, 2, 8, 9 e 10.)",63222,74,63296
"Quais são os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento?","Os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento, são:

Para Acadêmicos da UFPEL:
- Plano de Ensino, preenchido e assinado em conjunto com o supervisor do estágio;
- Declaração de seguro fornecida pelo colegiado da Faculdade de Medicina (FAMED).

Para Acadêmicos de outras instituições:
- Termo de Compromisso de Estágio (3 vias), assinado pelo acadêmico e pela instituição de ensino;
- Plano de Ensino, preenchido e assinado em conjunto com o professor coordenador de estágios (caso a Instituição de Ensino não tenha modelo próprio, enviar o modelo da GEP);
- Carta de apresentação fornecida pela Instituição de Ensino, mencionando nome do estudante, situação atual de matrícula, nome da disciplina de estágio obrigatório que deve realizar e carga horária total que deve cumprir;
- Cópia de apólice de seguro contra acidentes pessoais, ou declaração da Instituição de Ensino atestando que o estudante está assegurado (mencionar nome da seguradora, número da apólice e prazo de vigência);
- Cópia de comprovante vacinal (carteirinha de vacinação) com as doses de Hepatite B e Dupla Adulto (Tétano, Difteria) em dia.

Além disso, é necessário:
- Cadastro de Estudante para emissão do crachá de identificação e acesso às dependências do Hospital Escola, caso o estudante ainda não possua.

Fontes: Documentos 2, 4, 30 e 47.",77026,335,77361
"Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação?","Os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação, são:

- Computador com Internet
- Sistema ADS Ensino (site do HE UFPEL)

(Conforme descrito nos Documentos 2, 6, 8 e 15)

Além disso, para a impressão dos crachás, deve-se utilizar:

- Equipamento de impressão colorida do Hospital Escola
- Pen drive (para salvar o arquivo PDF do crachá)
- Recorte e plastificação do crachá (plastificação mencionada, mas o material específico para plastificação não detalhado para estágios curriculares obrigatórios)

(Conforme descrito nos Documentos 2, 6, 8 e 15)

Não há menção explícita a outros materiais como impressora, papel A4 ou plástico Polaseal para plastificação no contexto dos estágios curriculares obrigatórios, apenas para estágios optativos (Documentos 1, 11, 24).

Portanto, a resposta é:

- Computador com Internet
- Sistema ADS Ensino (site do HE UFPEL)
- Pen drive para salvar o arquivo PDF do crachá
- Equipamento de impressão colorida do Hospital Escola
- Recorte e plastificação do crachá (material para plastificação não especificado)",58638,281,58919
Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação?,"Os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação são:

- Computador com Internet
- Sistema ADS Ensino (site do HE UFPEL)
- Impressora Ink Jet ou Laser colorida
- Papel A4
- Plástico Polaseal para plastificação do crachá

(Conforme Documento 1 e Documento 12)",59987,85,60072
"De acordo com a Resolução CNS nº 466/2012, item II.21, como é definido o termo 'ressarcimento' no contexto da compensação material em pesquisas?","A Resolução CNS n° 466/2012, item II.21 define ressarcimento como “compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”.",52590,46,52636
"Quais formulários são utilizados na rotina de monitorias remotas descrita no documento, e para que propósito cada um serve?","Os formulários utilizados na rotina de monitorias remotas descrita no documento são:

1. **Formulário CPC – 003 Anuência para Monitoria Remota**  
   - Propósito: Documentar a anuência da Chefia do Setor de Pesquisa e Inovações Tecnológicas em Saúde para a realização da monitoria remota, devido às restrições da pandemia de COVID-19. Este formulário fica arquivado nos documentos do Centro de Pesquisa Clínica (CPC) para cobrir todas as atividades subsequentes.

2. **Formulário CPC – 004 Ciência para Monitoria Remota**  
   - Propósito: Registrar a ciência dos investigadores e sub-investigadores que necessitarem realizar a monitoria remota, respaldando a execução da monitoria.

3. **Formulário CPC – 005 Acordo de Confidencialidade: Monitoria Remota por vídeo ou webconferência**  
   - Propósito: Assinado pelo monitor, compromete-se a utilizar a documentação-fonte de forma adequada, destruir de forma segura qualquer cópia de documento-fonte (papel ou eletrônico) após a verificação dos dados-fonte, e a não fazer nenhuma cópia ou gravação de qualquer documento-fonte que contenha informações do participante. Deve ser encaminhado ao CPC 24 horas antes da monitoria remota.

Essas informações estão explicitamente descritas nos Documentos 1, 2, 3, 5 e 10.",47745,307,48052
"De acordo com o documento, qual a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna?","De acordo com o documento, a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna é:

- Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC.
- Justificar e encaminhar à UDP as demandas de capacitações extemporâneas.
- Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente.
- Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente.
- Emitir despacho detalhando os papéis e perfis esperados para a execução da ação de capacitação, conforme o art. 3º da Portaria-SEI nº 2931/2022/DGP-EBSERH, contendo nome do colaborador indicado, seu cargo e breve justificativa sobre sua qualificação para a temática.
- Caso não haja colaborador específico a ser indicado, a UDP buscará no banco de instrutores um profissional que atenda ao perfil solicitado.
- Assinar o despacho e providenciar as assinaturas da chefia imediata e demais responsáveis, conforme definido no PDC vigente.
- Quando se tratar de comissão, além das assinaturas acima, deve conter a assinatura do coordenador da comissão e do superintendente.
- Enviar, via sistema SEI, o projeto com 60 dias de antecedência à realização da ação à unidade UDP/DIVGP/GAD/HE-UFPel e aguardar a elaboração da nota técnica de aprovação ou despacho preliminar, com eventuais ajustes que precisam ser realizados no projeto.
- Realizar os ajustes necessários solicitados no processo em, no máximo, 05 dias após o envio do despacho pela UDP.
- Revisar, quando for o caso, o material didático da capacitação.
- Providenciar o espaço físico adequado para realização da capacitação, quando se tratar de capacitações na modalidade presencial.
- Providenciar o link da sala virtual para divulgação, quando se tratar de capacitações na modalidade on-line síncrona.
- Para as capacitações na modalidade à distância e assíncrona – Capacitações na Plataforma 3EC, solicitar ao conteudista a inclusão do material produzido, bem como os materiais de referência a serem incluídos na capacitação.
- Acompanhar a execução da capacitação e disponibilizar o link da lista de presença e avaliação de reação aos participantes da ação, durante a realização do evento.
- É responsabilidade do coordenador a disponibilização do link, somente para os participantes do evento.

(Fonte: Documento 1, Documento 2, Documento 18)",76812,562,77374
"Qual o prazo que o colaborador apto para a instrutoria interna tem, após o recebimento do despacho de indicação pela UDP, para manifestar confirmação ou indisponibilidade,  e o que precisa ser feito?","Após recebimento do despacho de indicação, por parte da UDP, o colaborador apto para a instrutoria interna terá o prazo de 7 dias para manifestar confirmação ou indisponibilidade, preenchendo o Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele), ou despacho informando a indisponibilidade para atuação na ação de capacitação. (Documento 1, Documento 14, Documento 18)",77688,102,77790
Quais são os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH)?,"Os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH) são:

- Norma - SEI nº 5/2022/DGP-EBSERH. Dispõe sobre as ações de capacitação no âmbito da Empresa Brasileira de Serviços Hospitalares – Ebserh. Brasília: EBSERH, 2022.
- Portaria- SEI nº 2931/2022/DGP-EBSERH. regulamenta a instrutoria interna no âmbito da Rede Ebserh. Brasília: EBSERH, 2022.
- POP.DGP.029 - Avaliação de necessidades de treinamento, desenvolvimento e educação. Brasília: DGP/EBSERH, 2024.

Esses documentos são mencionados explicitamente nos Documentos 1, 11, 16, 18 e 37.",62654,190,62844
