pergunta,resposta,tokens_prompt,tokens_resposta,tokens_total
"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST são:

- **USOST-027 – Permissão de Trabalho de Risco (PTR)**: utilizado para autorizar atividades não rotineiras ou de alto risco, com validade de 1 dia (ou até 5 dias na modalidade temporária), exigindo análise de riscos, medidas de controle e envolvendo responsáveis pela área e execução.
- **USOST-028 – Inspeção de trabalho em altura**: utilizado para emissão de permissão em trabalhos em altura não rotineiros, complementando a PTR e a APR.
- **USOST-029 – Autorização para trabalho a quente**: utilizado para atividades que envolvam fontes de ignição (como solda ou chama) em áreas com risco de incêndio ou explosão, emitido juntamente com a PTR.
- **USOST-030 – Permissão de Entrada e Trabalho em Espaços Confinados (PET)**: utilizado para atividades em espaços confinados, complementando a PTR, com monitoramento ambiental e controle de acesso.
- **USOST-031 – CHECK-LIST DE INSPEÇÃO**: utilizado para inspeções mensais de Ordem, Limpeza e Arrumação (OLA) nos ambientes do hospital.
- **USOST-033 – Ficha de escuta qualificada**: utilizado no acolhimento em saúde mental para formalizar a presença do colaborador durante atendimento.
- **USOST-036 – Termo de Autorização Colaborador / Avaliação de Sofrimento Mental**: utilizado para autorizar compartilhamento de informações na saúde mental ou para aplicação do teste SRQ-20 na avaliação de sofrimento mental.
- **USOST-038 – Controle de acesso em espaço confinado**: utilizado para registrar a entrada e saída de trabalhadores em espaços confinados.
- **USOST-039 – Etiqueta bloqueio de energias perigosas**: utilizado para bloquear fontes de energia perigosas (elétrica, mecânica, hidráulica, etc.) durante trabalhos, emitido juntamente com a PTR.",0,0,0
"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Estágio Optativo é definido como uma atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",0,0,0
"Quais são os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento?","Para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, a documentação necessária difere conforme a instituição de origem do acadêmico.

Para **acadêmicos da UFPEL**:
- Plano de Ensino preenchido e assinado em conjunto com o supervisor do estágio;
- Declaração de seguro fornecida pelo colegiado da Faculdade de Medicina (FAMED).

Para **acadêmicos de outras instituições**:
- Termo de Compromisso de Estágio (3 vias), assinado pelo acadêmico e pela instituição de ensino;
- Plano de Ensino preenchido e assinado em conjunto com o professor coordenador de estágios (utilizando o modelo da GEP caso a instituição não tenha modelo próprio);
- Carta de apresentação fornecida pela Instituição de Ensino, mencionando nome do estudante, situação atual de matrícula, nome da disciplina de estágio obrigatório e carga horária total;
- Cópia de apólice de seguro contra acidentes pessoais ou declaração da Instituição de Ensino atestando que o estudante está assegurado (com nome da seguradora, número da apólice e prazo de vigência);
- Cópia de comprovante vacinal (carteirinha de vacinação) com as doses de Hepatite B e Dupla Adulto (Tétano, Difteria) em dia.

Além disso, após o recebimento da documentação, é solicitado que o estudante efetue o cadastro online para emissão de crachá de identificação, se ainda não possuir.",0,0,0
"Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação?",Os materiais necessários são: Computador com Internet e acesso ao Sistema ADS Ensino (site do HE UFPEL).,0,0,0
Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação?,"Os materiais necessários são: computador com internet, acesso ao Sistema ADS Ensino (site do HE UFPEL), impressora Ink Jet ou Laser colorida, papel A4, plástico Polaseal para plastificação do crachá, pen drive para salvar o arquivo PDF do crachá e plastificadora (Poliseladora).",0,0,0
"De acordo com a Resolução CNS nº 466/2012, item II.21, como é definido o termo 'ressarcimento' no contexto da compensação material em pesquisas?","De acordo com a Resolução CNS nº 466/2012, item II.21, o termo ""ressarcimento"" é definido como compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação.",0,0,0
"Quais formulários são utilizados na rotina de monitorias remotas descrita no documento, e para que propósito cada um serve?","Na rotina de monitorias remotas, são utilizados três formulários: o **Formulário CPC – 003 Anuência para Monitoria Remota**, que documenta a autorização da chefia para realizar a monitoria remota e cobre as atividades subsequentes; o **Formulário CPC – 004 Ciência para Monitoria Remota**, que registra o conhecimento e a concordância dos investigadores e sub-investigadores quanto à execução da monitoria remota; e o **Formulário CPC – 005 Acordo de Confidencialidade**, que formaliza o compromisso do monitor em utilizar os documentos-fonte de forma adequada, destruí-los após a verificação e não copiá-los ou gravá-los.",0,0,0
"De acordo com o documento, qual a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna?","Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC.",0,0,0
"Qual o prazo que o colaborador apto para a instrutoria interna tem, após o recebimento do despacho de indicação pela UDP, para manifestar confirmação ou indisponibilidade,  e o que precisa ser feito?","O colaborador apto para a instrutoria interna tem o prazo de 7 dias, após o recebimento do despacho de indicação pela UDP, para manifestar confirmação ou indisponibilidade. Deve preencher e assinar o Termo de Ciência da Atividade de Instrutoria Interna_SEI, juntamente com a chefia imediata, ou emitir despacho informando a indisponibilidade para atuação na ação de capacitação.",0,0,0
Quais são os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH)?,"Os documentos normativos citados são: POP.DGP.029 - Avaliação de necessidades de treinamento, desenvolvimento e educação (2024); Norma - SEI nº 5/2022/DGP-EBSERH, que dispõe sobre as ações de capacitação; e Portaria-SEI nº 2931/2022/DGP-EBSERH, que regulamenta a instrutoria interna.",0,0,0
