resposta_gerada,resposta_referencia,precision,recall,f1
"Os formulários mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e suas finalidades, são:

*   **Formulário USOST-027 - Permissão de trabalho de risco:** Utilizado para a emissão de permissão de trabalho de risco para atividades.
*   **Formulário USOST-028 - Inspeção de trabalho em altura:** Utilizado para a emissão de permissão para trabalho em altura para riscos decorrentes de trabalho em altura não rotineiro.
*   **Formulário USOST-029 - Autorização para trabalho a quente:** Utilizado para emitir autorização para trabalhos a quente.
*   **Formulário USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET:** Utilizado para emitir permissão de entrada e trabalho em espaços confinados.
*   **Formulário USOST-031 – CHECK-LIST DE INSPEÇÃO:** Utilizado para avaliações e monitoramento das condições de risco nos ambientes do Hospital, com requisitos de Ordem, Limpeza e Arrumação (OLA).
*   **Formulário USOST-033 Ficha de escuta qualificada:** Utilizado para formalizar a presença do colaborador e adquirir informações durante a escuta qualificada.
*   **Formulário USOST-036 Termo de Autorização Colaborador:** Utilizado para formalizar a escuta qualificada do colaborador que identificou sinais/sintomas de adoecimento psíquico, autorizando o compartilhamento das informações fornecidas para a chefia imediata.
*   **Formulário USOST-036 Avaliação de Sofrimento Mental:** Utilizado para avaliar a pontuação de um questionário (SRQ 20) para rastreamento de transtornos não-psicóticos e identificar sofrimento mental.
*   **Formulário USOST-038 - Controle de acesso em espaço confinado:** Utilizado para registrar o controle de acesso de trabalhadores autorizados a entrar em espaço confinado.
*   **Formulário USOST-039 Etiqueta bloqueio de energias perigosas:** Utilizado para o bloqueio de energias perigosas (elétrica, mecânica, hidráulica, pneumática, química, térmica).","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",0.6549839377403259,0.8270184993743896,0.7310160994529724
"Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",1.0000001192092896,1.0000001192092896,1.0000001192092896
"De acordo com os documentos fornecidos, os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL dependem da instituição de origem do acadêmico:

**Para Acadêmicos da UFPEL:**
*   Plano de Ensino, preenchido e assinado em conjunto com o supervisor do estágio.
*   Declaração de seguro fornecida pelo colegiado da Faculdade de Medicina (FAMED).

**Para Acadêmicos de OUTRAS INSTITUIÇÕES:**
*   Termo de Compromisso de Estágio (3 vias), assinado pelo acadêmico e pela instituição de ensino.
*   Plano de Ensino, preenchido e assinado em conjunto com o professor coordenador de estágios (caso a Instituição de Ensino não tenha modelo próprio, enviar o modelo da GEP).
*   Carta de apresentação fornecida pela Instituição de Ensino, mencionando nome do estudante, situação atual de matrícula, nome da disciplina de estágio obrigatório que deve realizar e carga horária total que deve cumprir.
*   Cópia de apólice de seguro contra acidentes pessoais, ou declaração da Instituição de Ensino atestando que o estudante está assegurado (mencionar nome da seguradora, número da apólice e prazo de vigência).
*   Cópia de comprovante vacinal (carteirinha de vacinação) com as doses de Hepatite B e Dupla Adulto (Tétano, Difteria) em dia.","Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",0.5223788022994995,0.6482442617416382,0.5785450339317322
NÃO ENCONTRADO,"Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",0.6300605535507202,0.6081497669219971,0.6189112663269043
"Os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação são:

*   Computador com Internet
*   Sistema ADS Ensino (site do HE UFPEL)
*   Impressora Ink Jet ou Laser colorida
*   Papel A4
*   Plástico Polaseal para plastificação do crachá","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",0.8080540895462036,0.8891386985778809,0.8466594815254211
"De acordo com a Resolução CNS nº 466/2012, item II.21, o termo 'ressarcimento' é definido como “compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”.","“compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”",0.7672250866889954,0.9327196478843689,0.8419166803359985
"Na rotina de monitorias remotas descrita nos documentos, os seguintes formulários são utilizados e têm os seguintes propósitos:

*   **Formulário CPC – 003 Anuência para Monitoria Remota**: Utilizado pela Chefia do Setor de Gestão da Pesquisa e Inovações Tecnológicas em Saúde e pelo Coordenador de Pesquisa para documentar sua anuência para a realização da monitoria remota, a fim de cobrir todas as atividades subsequentes.
*   **Formulário CPC – 004 Ciência para Monitoria Remota**: Utilizado pelos Investigadores e Sub-investigadores para documentar sua ciência em relação à monitoria remota, respaldando sua execução.
*   **Acordo de Confidencialidade (Formulário CPC – 005)**: O monitor deve encaminhá-lo assinado ao CPC, comprometendo-se a utilizar a documentação-fonte de forma adequada, destruir de forma segura qualquer cópia de documento-fonte após a verificação dos dados-fonte e a não fazer nenhuma cópia (ou gravação) de qualquer documento-fonte que contenha as informações do participante.",Formulário CPC – 003 Anuência para Monitoria Remota; Formulário CPC – 004 Ciência para Monitoria Remota; Formulário CPC – 003 Acordo de confidencialidade: Monitoria Remota por vídeo ou webconferência,0.6341094970703125,0.835652232170105,0.7210624814033508
"De acordo com o documento, a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna é: Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC.","Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC. As demandas de capacitações extemporâneas, deverão ser justificadas e encaminhadas à UDP. Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente. Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente. Emitir despacho, detalhando os papéis e perfis esperados para a execução da ação de capacitação, conforme o art. 3º da Portaria-SEI nº 2931/2022/DGP-EBSERH.",0.7790798544883728,0.6895129680633545,0.7315651178359985
"Após o recebimento do despacho de indicação, por parte da UDP, o colaborador apto para a instrutoria interna terá o prazo de 7 dias para manifestar confirmação ou indisponibilidade. Para isso, ele deve preencher o Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele) ou enviar um despacho informando a indisponibilidade para atuação na ação de capacitação.","Após o recebimento do despacho de indicação, por parte da UDP, o colaborador apto para a instrutoria interna terá o prazo de 7 dias, para manifestar confirmação ou indisponibilidade, preenchimento do Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele), ou despacho informando a indisponibilidade para atuação na ação de capacitação.",0.9685075879096985,0.9737458825111389,0.9711196422576904
"Os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH) são:

*   **Norma - SEI nº 5/2022/DGP-EBSERH**: Dispõe sobre as ações de capacitação no âmbito da Empresa Brasileira de Serviços Hospitalares – Ebserh.
*   **Portaria- SEI nº 2931/2022/DGP-EBSERH**: Regulamenta a instrutoria interna no âmbito da Rede Ebserh.
*   **POP.DGP.029 - Avaliação de necessidades de treinamento, desenvolvimento e educação**.",Norma - SEI nº 5/2022/DGP-EBSERH; Portaria- SEI nº 2931/2022/DGP-EBSERH.,0.6315912008285522,0.8464673161506653,0.7234101891517639
